Code,Parent,Name_fr
"43000","4300","Employés des services comptables et d’approvisionnement, sip"
"43100","4310","Employés des services comptables et financiers, sip"
"43110","4311","Aides comptables et teneurs de livres"
"43120","4312","Employés de services statistiques ou financiers"
"43130","4313","Employés des services de paie"
"43200","4320","Employés d’approvisionnement, d’ordonnancement et des transports, sip"
"43210","4321","Employés du service des stocks"
"43220","4322","Employés du service d’ordonnancement de la production"
"43230","4323","Employés du service des transports"
"44100","4410","Autres employés de type administratif, sip"
"44110","4411","Employés de bibliothèque"
"44120","4412","Employés de service du courrier"
"44130","4413","Codeurs, correcteurs d’épreuves et assimilés"
"44140","4414","Écrivains publics et assimilés"
"44150","4415","Classeurs-archivistes"
"44160","4416","Employés, service du personnel"
"44190","4419","Employés administratifs non classés ailleurs, sip"
"44191","4419","Employés administratifs, marketing et publicité"
"44192","4419","Employés administratifs, vente"
"50000","5000","Personnel des services directs aux particuliers, commerçants et vendeurs, sip"
"51000","5100","Personnel des services directs aux particuliers, sip"
"51100","5110","Agents d’accompagnement et assimilés (transports et tourisme), sip"
"51110","5111","Agents d’accueil et stewards"
"51120","5112","Contrôleurs et receveurs de transports publics"
"51130","5113","Guides"
"51200","5120","Cuisiniers"
"51300","5130","Chefs de service, spécialistes, auxiliaires de restauration et barmen, sip"
"51310","5131","Chefs de service, spécialistes et auxiliaires de la restauration, sip"
"51311","5131","Chefs de service de la restauration"
"51312","5131","Spécialistes en restauration"
"51313","5131","Auxiliaires de restauration"
"51320","5132","Barmen"
"51400","5140","Coiffeurs, esthéticiens et assimilés, sip"
"51410","5141","Coiffeurs"
"51420","5142","Esthéticiens et assimilés"
"51500","5150","Intendants, gouvernantes et concierges, sip"
"51510","5151","Intendants et superviseurs des services de nettoyage de bureaux, des hôtels et d’autres établissements, sip"
"51511","5151","Superviseurs des services de nettoyage de bureaux, des hôtels et d’autres établissements"
"51512","5151","Intendants des services de nettoyage de bureaux, des hôtels et d’autres établissements"
"51520","5152","Gouvernantes et intendants à domicile"
"51530","5153","Concierges de bâtiments"
"51600","5160","Autre personnel des services directs aux particuliers, sip"
"51610","5161","Astrologues, diseurs de bonne aventure et assimilés"
